,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
711,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,353506,1955,abdulla_bin_ahmad_al_ghurair
712,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,278868,1955,abdulla_bin_ahmad_al_ghurair
713,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,202520,1955,abdulla_bin_ahmad_al_ghurair
714,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2016,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,149793000,183780,1955,abdulla_bin_ahmad_al_ghurair
715,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,261928,1955,abdulla_bin_ahmad_al_ghurair
716,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,399254,1955,abdulla_bin_ahmad_al_ghurair
717,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,536021,1955,abdulla_bin_ahmad_al_ghurair
718,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,410391,1955,abdulla_bin_ahmad_al_ghurair
719,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,558904,1955,abdulla_bin_ahmad_al_ghurair
720,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,463109,1955,abdulla_bin_ahmad_al_ghurair
721,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,353506,1955,abdulla_bin_ahmad_al_ghurair
722,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,278868,1955,abdulla_bin_ahmad_al_ghurair
723,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,202520,1955,abdulla_bin_ahmad_al_ghurair
724,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2017,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,204000000,183780,1955,abdulla_bin_ahmad_al_ghurair
725,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,261928,1955,abdulla_bin_ahmad_al_ghurair
726,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,399254,1955,abdulla_bin_ahmad_al_ghurair
727,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,536021,1955,abdulla_bin_ahmad_al_ghurair
728,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,410391,1955,abdulla_bin_ahmad_al_ghurair
729,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,558904,1955,abdulla_bin_ahmad_al_ghurair
730,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,463109,1955,abdulla_bin_ahmad_al_ghurair
731,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,353506,1955,abdulla_bin_ahmad_al_ghurair
732,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,278868,1955,abdulla_bin_ahmad_al_ghurair
733,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,202520,1955,abdulla_bin_ahmad_al_ghurair
734,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2018,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,169035000,183780,1955,abdulla_bin_ahmad_al_ghurair
735,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,261928,1955,abdulla_bin_ahmad_al_ghurair
736,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,399254,1955,abdulla_bin_ahmad_al_ghurair
737,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,536021,1955,abdulla_bin_ahmad_al_ghurair
738,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,410391,1955,abdulla_bin_ahmad_al_ghurair
739,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,558904,1955,abdulla_bin_ahmad_al_ghurair
740,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,463109,1955,abdulla_bin_ahmad_al_ghurair
741,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,353506,1955,abdulla_bin_ahmad_al_ghurair
